"order_item_id";"additional_information";"amount";"price";"quantity";"unit_of_measurement";"brand_brand_id";"item_item_id";"purchase_order_purchase_order_number";"purchase_order_company_id";"purchase_order_site_id"
1;"";399375.0;53250.0;7.5;"MT";0;1;"PO-4000033373";4;7
2;"";2800.125;373.35;1.0;"MT";0;2;"PO-4000033373";4;7
3;"";36195.761249999996;0.0;9.0;"%";0;3;"PO-4000033373";4;7
4;"";36195.761249999996;0.0;9.0;"%";0;4;"PO-4000033373";4;7
5;"";53000.0;53000.0;1.0;"MT";0;5;"PO-4000033374";4;6
6;"";51000.0;51000.0;1.0;"MT";0;6;"PO-4000033374";4;6
7;"";2800.0;1400.0;0.0;"MT";0;2;"PO-4000033374";4;6
8;"";9612.0;0.0;9.0;"%";0;3;"PO-4000033374";4;6
9;"";9612.0;0.0;9.0;"%";0;4;"PO-4000033374";4;6
